ds,y
18/04/2003,13.95
19/04/2003,12.20416667
20/04/2003,12.34583333
21/04/2003,15.09583333
22/04/2003,15.80833333
23/04/2003,13.9125
24/04/2003,14.375
25/04/2003,14.825
26/04/2003,13.95416667
27/04/2003,14.65833333
28/04/2003,15.09583333
29/04/2003,13.77916667
30/04/2003,13.52083333
1/5/2003,13.93333333
2/5/2003,14.34166667
3/5/2003,14.8
4/5/2003,14.37083333
5/5/2003,13.39583333
6/5/2003,13.23333333
7/5/2003,13.76666667
8/5/2003,15.625
9/5/2003,15.4
10/5/2003,14.99166667
11/5/2003,15.52083333
12/5/2003,15.4875
13/05/2003,17.28333333
14/05/2003,18.75416667
15/05/2003,17.01666667
16/05/2003,15.5
17/05/2003,16.05
18/05/2003,17.45
19/05/2003,16.82916667
20/05/2003,16.75833333
21/05/2003,21.97083333
22/05/2003,24.54166667
23/05/2003,21.59583333
24/05/2003,16.1875
25/05/2003,16.5125
26/05/2003,19.04166667
27/05/2003,21.85416667
28/05/2003,22.6625
29/05/2003,24.325
30/05/2003,21.60833333
31/05/2003,18.3375
1/6/2003,16.825
2/6/2003,18.3125
3/6/2003,18.41666667
4/6/2003,17.68333333
5/6/2003,16.80416667
6/6/2003,18.76666667
7/6/2003,19.18333333
8/6/2003,18.3
9/6/2003,17.775
10/6/2003,19.15416667
11/6/2003,20.81666667
12/6/2003,25.68333333
13/06/2003,28.87083333
14/06/2003,22.64166667
15/06/2003,20.05
16/06/2003,18.625
17/06/2003,19.825
18/06/2003,26.07083333
19/06/2003,31.01666667
20/06/2003,29.39166667
21/06/2003,25.45
22/06/2003,21.5875
23/06/2003,21.45416667
24/06/2003,19.3375
25/06/2003,19.7125
26/06/2003,18.4875
27/06/2003,20.01666667
28/06/2003,18.8125
29/06/2003,16.45
30/06/2003,17.95833333
1/7/2003,18.35416667
2/7/2003,17.675
3/7/2003,17.75416667
4/7/2003,18.65833333
5/7/2003,18.52083333
6/7/2003,19.77083333
7/7/2003,21.1625
8/7/2003,20.83333333
9/7/2003,21.43333333
10/7/2003,22.21666667
11/7/2003,21.925
12/7/2003,20.82916667
13/07/2003,19.5625
14/07/2003,19.65
15/07/2003,17.33333333
16/07/2003,17.52916667
17/07/2003,18.6125
18/07/2003,19.61666667
19/07/2003,20.03333333
20/07/2003,19.09166667
21/07/2003,19.20833333
22/07/2003,19.675
23/07/2003,19.54166667
24/07/2003,20.74166667
25/07/2003,20.3625
26/07/2003,21.19166667
27/07/2003,20.32083333
28/07/2003,20.75
29/07/2003,26.6125
30/07/2003,28.07916667
31/07/2003,26.35
1/8/2003,29.40833333
2/8/2003,32.07083333
3/8/2003,25.47916667
4/8/2003,24.49583333
5/8/2003,25.24166667
